,Date,Price
0,2020-02-02,9344.37
1,2020-02-01,9392.88
2,2020-01-31,9350.53
3,2020-01-30,9508.99
4,2020-01-29,9316.63
5,2020-01-28,9358.59
6,2020-01-27,8909.82
7,2020-01-26,8596.83
8,2020-01-25,8367.85
9,2020-01-24,8445.43
10,2020-01-23,8406.52
11,2020-01-22,8680.88
12,2020-01-21,8745.89
13,2020-01-20,8657.64
14,2020-01-19,8706.25
15,2020-01-18,8942.81
16,2020-01-17,8929.04
17,2020-01-16,8723.79
18,2020-01-15,8807.01
19,2020-01-14,8827.76
20,2020-01-13,8144.19
21,2020-01-12,8192.49
22,2020-01-11,8037.54
23,2020-01-10,8166.55
24,2020-01-09,7879.07
25,2020-01-08,8079.86
26,2020-01-07,8163.69
27,2020-01-06,7769.22
28,2020-01-05,7411.32
29,2020-01-04,7410.66
30,2020-01-03,7344.88
31,2020-01-02,6985.47
32,2020-01-01,7200.17
33,2019-12-31,7193.6
34,2019-12-30,7293.0
35,2019-12-29,7422.65
36,2019-12-28,7317.99
37,2019-12-27,7290.09
38,2019-12-26,7238.97
39,2019-12-25,7275.16
40,2019-12-24,7322.53
41,2019-12-23,7355.63
42,2019-12-22,7511.59
43,2019-12-21,7191.16
44,2019-12-20,7218.82
45,2019-12-19,7202.84
46,2019-12-18,7276.8
47,2019-12-17,6640.52
48,2019-12-16,6932.48
49,2019-12-15,7152.3
50,2019-12-14,7124.67
51,2019-12-13,7269.68
52,2019-12-12,7243.13
53,2019-12-11,7217.43
54,2019-12-10,7278.12
55,2019-12-09,7400.9
56,2019-12-08,7564.35
57,2019-12-07,7556.24
58,2019-12-06,7547.0
59,2019-12-05,7448.31
60,2019-12-04,7252.03
61,2019-12-03,7320.15
62,2019-12-02,7321.99
63,2019-12-01,7424.29
64,2019-11-30,7569.63
65,2019-11-29,7761.24
66,2019-11-28,7463.11
67,2019-11-27,7531.66
68,2019-11-26,7218.37
69,2019-11-25,7146.13
70,2019-11-24,7047.92
71,2019-11-23,7397.8
72,2019-11-22,7296.58
73,2019-11-21,7642.75
74,2019-11-20,8027.27
75,2019-11-19,8206.15
76,2019-11-18,8309.29
77,2019-11-17,8577.98
